.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
*,@,.,.,.,@,*,*,*,.,*,.,*,.,*,.,*,*
#,@,i,.,i,@,#,#,#,#,#,#,#,#,#,#,#,#
#,@,U,U,U,@,#,#,#,#,#,#,@,#,#,#,#,#
#,@,i,.,i,@,#,#,#,#,#,#,#,#,#,#,#,#
.,@,.,.,.,@,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,@,.,.,.,@,@,@,@,@,.,.,@,@,@,@,@,@
.,.,.,.,.,@,B,.,.,@,.,.,@,B,.,.,.,@
.,@,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,@,.,.,.,@,.,.,@,.,.,.,.,@
.,.,S,K,S,@,@,.,@,@,.,.,@,@,.,@,@,@
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
.,.,.,*,.,.,.,@,@,.,@,@,@,@,@,@,@,@
.,.,*,#,*,.,.,@,B,.,.,.,@,.,.,.,.,.
.,.,.,*,.,.,.,@,.,.,.,.,@,.,.,.,.,.
.,.,.,.,.,.,.,@,.,.,.,.,@,.,.,.,.,.
